scene_id,candidate_id,task_id,start_x,start_y,start_z,goal_x,goal_y,goal_z,candidate_seed,planner_success,rollout_success,reference_completed,goal_reached,collision_count,ground_contact_count,nonfinite_count,clip_count,accepted,failure_reason,split,episode_length,minimum_goal_distance,max_raw_action_component,max_commanded_speed,max_speed_limit_excess,error
OPEN_00,0,OPEN_00_TASK_000,0.4801990562882389,0.23212660713047328,1.0631064291014374,4.505749559789356,-0.4417781996127187,1.1240568223404475,20260808,True,True,True,True,0,0,0,0,True,accepted,train,440,0.049656019145570475,0.9951476619718407,0.8009913879667963,0.0,
OPEN_00,1,OPEN_00_TASK_001,0.9516755577450706,-0.0888206613788054,0.8496751650425298,4.294023538931446,0.4319805617761172,0.9983116401474568,20260809,True,True,True,True,0,0,0,0,True,accepted,test,375,0.021479971620809345,0.9957232926125431,0.800999757176381,0.0,
OPEN_00,2,OPEN_00_TASK_002,0.5538977594080853,0.19971810354969088,1.0740678011068026,4.732275615928807,-0.3172897149323527,1.1397976163512515,20260810,True,True,True,True,0,0,0,0,True,accepted,train,452,0.03899268305095302,0.9976947080271233,0.8009977210750785,0.0,
OPEN_00,3,OPEN_00_TASK_003,0.5170844415998768,-0.20753907999889942,1.1483500738327055,4.1602347204676375,0.003847672036827343,1.0380631130731075,20260811,True,True,True,True,0,0,0,0,True,accepted,train,401,0.027642076919798017,0.9990676970870648,0.8009966271208282,0.0,
OPEN_00,4,OPEN_00_TASK_004,0.2756240888759605,0.43768925682923976,0.8340260387707976,4.5902082627557,-0.09206629418536638,0.7741692240075586,20260812,True,True,True,True,0,0,0,0,True,accepted,train,465,0.028532277638686945,0.997640709119313,0.8009985920532103,0.0,
OPEN_00,5,OPEN_00_TASK_005,1.23511932939735,-0.13822999330085506,0.8520406154497118,4.5309953724285625,0.382797236164537,0.7627520796859799,20260813,True,True,True,True,0,0,0,0,True,accepted,train,370,0.07848401165161814,0.9953049509225348,0.8009945619268416,0.0,
OPEN_00,6,OPEN_00_TASK_006,1.031741777695772,-0.38232521769645633,1.2435912708971735,4.061494938583037,0.4233427359307652,0.9178013576462842,20260814,True,True,True,True,0,0,0,0,True,accepted,train,351,0.037294585426611085,0.9832368657748713,0.800995759066466,0.0,
OPEN_00,7,OPEN_00_TASK_007,0.778117327232289,0.15559170787135845,0.9393331060522758,4.574688434000632,-0.48485399208429747,1.2406846135596472,20260815,True,True,True,True,0,0,0,0,True,accepted,train,419,0.03471945693285275,0.993749010382044,0.800995134107369,0.0,
OPEN_00,8,OPEN_00_TASK_008,0.36947599875515613,0.30088418422998264,1.0479182984111337,4.535838886095395,0.03954677970662146,0.9837915164749811,20260816,True,True,True,True,0,0,0,0,True,accepted,val,450,0.05284790397622376,0.9991548413771321,0.8009992374586866,0.0,
OPEN_00,9,OPEN_00_TASK_009,0.43739535475534097,0.22773940108257784,1.192701225862423,3.9509707714496862,-0.40588400637756983,1.1158075256535511,20260817,True,True,True,True,0,0,0,0,True,accepted,val,391,0.03076633023432559,0.9938015257397094,0.8009939626567978,0.0,
OPEN_00,10,OPEN_00_TASK_010,0.6453010618395622,-0.04496339916968772,0.9109179235171545,4.207153185120727,-0.42694936098605973,0.8680003040193598,20260818,True,True,True,True,0,0,0,0,True,accepted,train,394,0.05437178964759548,0.9980247783671314,0.8009865517094796,0.0,
OPEN_00,11,OPEN_00_TASK_011,0.9099321239234726,-0.13070922290434883,0.9882760705696355,4.573196605851099,0.2192846536989712,1.1495757747267688,20260819,True,True,True,True,0,0,0,0,True,accepted,val,403,0.022634638850507934,0.9980921400787488,0.800988947475577,0.0,
OPEN_00,12,OPEN_00_TASK_012,0.5743697758043698,-0.40349189028261134,0.9445520564779095,4.518992865110407,-0.4032441312907693,0.8808752797871235,20260820,True,True,True,True,0,0,0,0,True,accepted,test,429,0.03307135338772111,0.9999309317551724,0.8009910356953327,0.0,
OPEN_00,13,OPEN_00_TASK_013,0.34346429672013595,0.2843988303308457,1.0557960821237544,4.090894243741209,0.05632631170693192,1.0536195953525458,20260821,True,True,True,True,0,0,0,0,True,accepted,train,410,0.041463783343744835,0.9991880228178394,0.8009999388010077,0.0,
OPEN_00,14,OPEN_00_TASK_014,0.8183509190816829,-0.30300809262114914,1.1270034268969893,4.046002674955014,-0.24284517318786403,0.8026508934157643,20260822,True,True,True,True,0,0,0,0,True,accepted,test,362,0.03176225917591882,0.9978785201156907,0.8009910826887967,0.0,
OPEN_00,15,OPEN_00_TASK_015,0.268304800570157,-0.3248390571638192,0.8713586992263529,4.267042256161216,0.4641269256677496,0.8369340111237518,20260823,True,True,True,True,0,0,0,0,True,accepted,train,438,0.04038482690761725,0.9925591516898331,0.8009999513480711,0.0,
