env_steps,mean_return,success_rate,collision_rate,ground_contact_rate,timeout_rate,mean_episode_steps,success,unsafe
0,-1.9200000000000015,0.0,0.0,0.0,1.0,960.0,0,0
50000,1.4821421556454373,0.0,0.0,0.0,1.0,960.0,0,0
100000,-3.9861275636239246,0.0,0.35185185185185186,0.0,0.6481481481481481,694.4629629629629,0,19
150000,-7.975060574326334,0.09259259259259259,0.6666666666666666,0.0,0.24074074074074073,378.962962962963,5,36
200000,-5.77956173211374,0.18518518518518517,0.6666666666666666,0.0,0.14814814814814814,275.35185185185185,10,36
250000,-3.791828602607803,0.2777777777777778,0.6666666666666666,0.0,0.05555555555555555,201.25925925925927,15,36
300000,-3.8013443649064516,0.25925925925925924,0.6666666666666666,0.0,0.07407407407407407,223.12962962962962,14,36
350000,-6.6877987319363195,0.1111111111111111,0.6666666666666666,0.0,0.2222222222222222,337.48148148148147,6,36
400000,-1.8288931297673432,0.3333333333333333,0.6666666666666666,0.0,0.0,177.2037037037037,18,36
450000,-5.948533775989907,0.14814814814814814,0.6666666666666666,0.0,0.18518518518518517,309.3888888888889,8,36
500000,-2.5859337842963765,0.2962962962962963,0.6666666666666666,0.0,0.037037037037037035,197.74074074074073,16,36
