action_norm_mean,azimuth,duration,elevation,episode_steps,family,geometry_hash,horizontal_distance,map_id,obstacle_count,obstacle_depth_mean,obstacle_height_mean,obstacle_width_mean,path_length,path_straight_ratio,start_goal_distance,task_id,vertical_displacement
,,,,,SINGLE_BLOCK,593d26119370dff05a6c43e2d9226e509ecb759dbc040104965202201910d3bc,,SINGLE_BLOCK_024,1,0.5511311183840635,1.2902939732052312,0.5627476650703639,,,,,
,,,,,SINGLE_BLOCK,a3d08f6e6b3c8c934ef69ca777088096e5750f5ae40059aea7b2ceedfcf4b98d,,SINGLE_BLOCK_025,1,0.6564858677218117,1.3956564995787812,0.623488184447692,,,,,
,,,,,SINGLE_BLOCK,aa074c7fe24cb6dccc4dea9ce8200092d36b2240ed4f21312e6edfd3e32cc2c9,,SINGLE_BLOCK_026,1,0.6086317449235372,1.4885743720164881,0.5509183664757391,,,,,
,,,,,SINGLE_BLOCK,d9bd8c74b311c053f37d4dd42e5369040d682f2735a4bb0519bfecfd49fe7898,,SINGLE_BLOCK_027,1,0.48875305791299495,1.3118630695906914,0.6397345167840409,,,,,
,,,,,SINGLE_BLOCK,393a635d4f1712bdb0886a306822047ae55d45b8c955f24d3763a422f8f92fa4,,SINGLE_BLOCK_028,1,0.7187729881841922,0.8065187344082504,0.5028317307289365,,,,,
,,,,,SINGLE_BLOCK,01d81cbf19abdc911c5adbca3f788792b8250e933649ba33ae1a025ceac935fe,,SINGLE_BLOCK_029,1,0.4681729768481772,1.314740410827961,0.403711738609804,,,,,
,,,,,SINGLE_BLOCK,bb4c5434448efd1c8a356204fb146d99bcf256e6bf6b6e8abfae354129669a20,,SINGLE_BLOCK_030,1,0.4681851444803087,0.9463643890727437,0.6359573533913703,,,,,
,,,,,SINGLE_BLOCK,a327bf25da1bfc413b4ab3bff1187bcfdb6ff1b5134606bf919624a5622a60f2,,SINGLE_BLOCK_031,1,0.8251041844913134,1.0669958659080594,0.37772519696206336,,,,,
,,,,,SINGLE_BLOCK,3ce4fca950676df24e3a1fc9eba1a884be65a75999a9956320929e81d7e527b7,,SINGLE_BLOCK_032,1,0.56876437281999,1.1157197296485022,0.5677684838704367,,,,,
,,,,,SINGLE_BLOCK,f648b0bede50f85fac4959cdc6b3d60e82185bd3f240ed8f0851f604d4310c1b,,SINGLE_BLOCK_033,1,0.5426263558852552,1.2876195533277097,0.5886211170108996,,,,,
,,,,,SINGLE_BLOCK,6c579ddbb291d53547cdbe5598df89b82ad5cc0f28500f7bc01e2eae4ca8bfea,,SINGLE_BLOCK_034,1,0.699243754186328,1.2842407983989406,0.6283951995096504,,,,,
,,,,,SINGLE_BLOCK,de0ac221587ac595e85c76761cda48135d49adf7cd3014c937bdccb5ed84abcf,,SINGLE_BLOCK_035,1,0.5347461997512355,1.1835323410528167,0.5458173525403067,,,,,
,,,,,SINGLE_BLOCK,ffb47323c421a6ed8d28dbd2e40bdffb29813f6bb55971d5646384ca9ab35fb8,,SINGLE_BLOCK_036,1,0.7623156945788532,0.9907309418090433,0.5777215282720042,,,,,
,,,,,SINGLE_BLOCK,09fadeac8d4b7702bbc627603e0bd3431375e9f28147c079bd9ca738c538803b,,SINGLE_BLOCK_037,1,0.89965501652287,1.0433591665468422,0.6413488435791365,,,,,
,,,,,SINGLE_BLOCK,a2df117c2a9edd0786e9eb241d19082f8b791249912a97c9bf0855f859bfd282,,SINGLE_BLOCK_038,1,0.799433742407923,0.9083258579767206,0.5966983485782159,,,,,
,,,,,SINGLE_BLOCK,89099d8cc0dc5815c739c7956a896bea9d41b90cb331be14aa8106ddbb61f4d4,,SINGLE_BLOCK_039,1,0.53942812061312,1.2602597179980686,0.38762061146658355,,,,,
,,,,,SINGLE_BLOCK,1b8afd9568ca91677700e324d5ae401ffd074c4fa6058a9d5642b4c05198e246,,SINGLE_BLOCK_040,1,0.8825196682394428,1.0928269427572412,0.38973695911986955,,,,,
,,,,,SINGLE_BLOCK,1afc1c339cbb0db57b2a8bea5541056e2179cb183a1c2cb9572f4a96d3b4d9e7,,SINGLE_BLOCK_041,1,0.5240264900287467,1.320070222746371,0.4624281887110093,,,,,
,,,,,SINGLE_BLOCK,d3c2db89fd5a97084bacb6771ed488ae5796f2f9f6ac4d9ed4ca4bad66b6806a,,SINGLE_BLOCK_042,1,0.8544371629730816,1.4666354048473997,0.39696174357011327,,,,,
,,,,,SINGLE_BLOCK,6c7abb8a7b638b64acf1c4493572aee676b8b5b760730921d741efcac44eb26d,,SINGLE_BLOCK_043,1,0.706408917379225,0.8717124379740818,0.5615755639782049,,,,,
,,,,,SINGLE_BLOCK,ca2b899ffa80c9199655b0aaf2fa77486f36381ac66a5f750d9035876321d8d6,,SINGLE_BLOCK_044,1,0.729604682058633,0.9286141871037507,0.7340301267098387,,,,,
,,,,,SINGLE_BLOCK,11f5967f951d6baba4227e5b2cfc1cf3f1320b42abedd99650b2300950c369c2,,SINGLE_BLOCK_045,1,0.8841756353751264,1.2285261184444356,0.7300364432196722,,,,,
,,,,,SINGLE_BLOCK,85ffaa4ef11ceffc70a2d06d84cd1c1781dc4c04625a59a40d7655059c1d9d8e,,SINGLE_BLOCK_046,1,0.5299372596279668,0.9209899196321105,0.5698770087792718,,,,,
,,,,,SINGLE_BLOCK,bdc9b8943bb1e3a75c4631c42572dcf87efe511404b7553c852483b8280f0419,,SINGLE_BLOCK_047,1,0.8864619910778693,0.8066737555289369,0.6713652650635473,,,,,
