env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,0,0.0,0,0.0,0,0.0,-1.8618706975944976,54,0,0.0,0,0.0,0,0.0,0,0.0
50000,1,0.018518518518518517,29,0.5370370370370371,29,0.5370370370370371,-7.843451745172394,24,1,0.05555555555555555,0,0.0,0,0.0,0,0.0
100000,11,0.2037037037037037,23,0.42592592592592593,23,0.42592592592592593,-2.2499743995757786,20,11,0.6111111111111112,0,0.0,0,0.0,0,0.0
150000,16,0.2962962962962963,11,0.2037037037037037,11,0.2037037037037037,4.576211963433811,27,16,0.8888888888888888,0,0.0,0,0.0,0,0.0
200000,11,0.2037037037037037,12,0.2222222222222222,12,0.2222222222222222,1.9616461875555498,31,11,0.6111111111111112,0,0.0,0,0.0,0,0.0
250000,13,0.24074074074074073,10,0.18518518518518517,10,0.18518518518518517,3.443803233155319,31,13,0.7222222222222222,0,0.0,0,0.0,0,0.0
300000,10,0.18518518518518517,9,0.16666666666666666,9,0.16666666666666666,2.6318938388205195,35,10,0.5555555555555556,0,0.0,0,0.0,0,0.0
350000,10,0.18518518518518517,9,0.16666666666666666,9,0.16666666666666666,3.126508173659494,35,10,0.5555555555555556,0,0.0,0,0.0,0,0.0
400000,11,0.2037037037037037,6,0.1111111111111111,6,0.1111111111111111,4.64171118615562,37,11,0.6111111111111112,0,0.0,0,0.0,0,0.0
450000,13,0.24074074074074073,3,0.05555555555555555,3,0.05555555555555555,5.895658640032271,38,13,0.7222222222222222,0,0.0,0,0.0,0,0.0
500000,17,0.3148148148148148,3,0.05555555555555555,3,0.05555555555555555,7.717208523139628,34,17,0.9444444444444444,0,0.0,0,0.0,0,0.0
