env_steps,mean_return,success_rate,collision_rate,ground_contact_rate,timeout_rate,mean_episode_steps,success,unsafe
0,-1.9200000000000015,0.0,0.0,0.0,1.0,960.0,0,0
50000,-1.477032627936114,0.0,0.018518518518518517,0.0,0.9814814814814815,945.3888888888889,0,1
100000,-6.031253895078857,0.0,0.2222222222222222,0.0,0.7777777777777778,774.6666666666666,0,12
150000,-8.298159314844478,0.0,0.4444444444444444,0.0,0.5555555555555556,589.574074074074,0,24
200000,-11.471553659277262,0.0,0.6666666666666666,0.0,0.3333333333333333,407.8703703703704,0,36
250000,-4.147982979244764,0.2222222222222222,0.6296296296296297,0.0,0.14814814814814814,262.25925925925924,12,34
300000,-4.751080294978556,0.2037037037037037,0.6666666666666666,0.0,0.12962962962962962,269.1296296296296,11,36
350000,-4.249256548481764,0.2222222222222222,0.6666666666666666,0.0,0.1111111111111111,262.6296296296296,12,36
400000,-3.808795588203072,0.24074074074074073,0.6666666666666666,0.0,0.09259259259259259,246.2037037037037,13,36
450000,-1.7315993987506444,0.3333333333333333,0.6666666666666666,0.0,0.0,174.59259259259258,18,36
500000,-1.703444256890538,0.3333333333333333,0.6666666666666666,0.0,0.0,173.7962962962963,18,36
