update,train_loss,val_loss,gradient_norm
1,0.2106839120388031,0.20118473054767072,0.10955552756786346
2,0.19616997241973877,,0.10588707029819489
3,0.20294561982154846,,0.10773889720439911
4,0.18779045343399048,,0.10169932246208191
5,0.17899379134178162,,0.09860636293888092
6,0.17789983749389648,,0.09873110055923462
7,0.18515470623970032,,0.10200299322605133
8,0.18214261531829834,,0.10328704118728638
9,0.18371844291687012,,0.11059356480836868
10,0.17547838389873505,,0.11036033928394318
11,0.16751441359519958,,0.10996758937835693
12,0.15582029521465302,,0.1073966771364212
13,0.147962749004364,,0.11611998081207275
14,0.14273416996002197,,0.11874321103096008
15,0.13152581453323364,,0.124295674264431
16,0.12494099140167236,,0.13160106539726257
17,0.11044471710920334,,0.12582644820213318
18,0.10130977630615234,,0.11552567780017853
19,0.09285348653793335,,0.09847041964530945
20,0.09312623739242554,,0.09155979007482529
21,0.09326215833425522,,0.1139024868607521
22,0.09369787573814392,,0.13038913905620575
23,0.09132017195224762,,0.13769884407520294
24,0.09491851925849915,,0.14374315738677979
25,0.08780461549758911,,0.11655054241418839
26,0.08501893281936646,,0.09892705827951431
27,0.07963213324546814,,0.08380714058876038
28,0.08112411946058273,,0.06418279558420181
29,0.07611944526433945,,0.04617748782038689
30,0.08370950073003769,,0.052220288664102554
31,0.07412652671337128,,0.062268804758787155
32,0.08010166138410568,,0.07306486368179321
33,0.07856990396976471,,0.0905337780714035
34,0.07952934503555298,,0.08382432162761688
35,0.0799204632639885,,0.07940167933702469
36,0.07742100208997726,,0.0847613662481308
37,0.0667431429028511,,0.047902174293994904
38,0.06811656057834625,,0.037923455238342285
39,0.06536797434091568,,0.04716610535979271
40,0.06751444190740585,,0.041173145174980164
41,0.06215883418917656,,0.05328444391489029
42,0.0653877705335617,,0.06482122838497162
43,0.06165853887796402,,0.05928758904337883
44,0.06119520217180252,,0.06716322898864746
45,0.058228444308042526,,0.05470823869109154
46,0.06063459441065788,,0.05165204778313637
47,0.05596957355737686,,0.04562943056225777
48,0.05255848169326782,,0.04415598884224892
49,0.052543289959430695,,0.042288850992918015
50,0.05551048368215561,,0.04207134246826172
51,0.05279889702796936,,0.044340312480926514
52,0.04780306667089462,,0.040519580245018005
53,0.0485297255218029,,0.041682787239551544
54,0.043600957840681076,,0.0490836575627327
55,0.042989909648895264,,0.0459739975631237
56,0.04381372779607773,,0.04316133260726929
57,0.03743061050772667,,0.0436822883784771
58,0.04181931912899017,,0.047889869660139084
59,0.03548081964254379,,0.038197197020053864
60,0.032681964337825775,,0.03662845864892006
61,0.03833484649658203,,0.035646889358758926
62,0.0331190824508667,,0.03741003945469856
63,0.02903309278190136,,0.030883267521858215
64,0.03048277460038662,,0.04074256867170334
65,0.034066639840602875,,0.04392101988196373
66,0.030794184654951096,,0.045760683715343475
67,0.02702443301677704,,0.039816733449697495
68,0.028877269476652145,,0.03714442253112793
69,0.02886822074651718,,0.032424602657556534
70,0.027329763397574425,,0.031929388642311096
71,0.024217810481786728,,0.033003464341163635
72,0.025200001895427704,,0.046858400106430054
73,0.023919016122817993,,0.03950933367013931
74,0.024308567866683006,,0.035175878554582596
75,0.020947139710187912,,0.03195289522409439
76,0.022786034271121025,,0.031063122674822807
77,0.023602163419127464,,0.030609091743826866
78,0.0203106552362442,,0.03476295620203018
79,0.020621662959456444,,0.04234820604324341
80,0.02237958088517189,,0.041657209396362305
81,0.02188562974333763,,0.039933472871780396
82,0.019836165010929108,,0.03482526168227196
83,0.01644401252269745,,0.0290256068110466
84,0.018550729379057884,,0.023613836616277695
85,0.018383853137493134,,0.025939898565411568
86,0.017384065315127373,,0.042859964072704315
87,0.01696176826953888,,0.026726409792900085
88,0.01589208096265793,,0.02774219401180744
89,0.014360408298671246,,0.03482415899634361
90,0.014568528160452843,,0.025632932782173157
91,0.01565447822213173,,0.03274655342102051
92,0.015477406792342663,,0.025717798620462418
93,0.016457449644804,,0.039320167154073715
94,0.014235137030482292,,0.032813310623168945
95,0.013837995938956738,,0.0286770798265934
96,0.014013288542628288,,0.05034003406763077
97,0.014797082170844078,,0.02325768768787384
98,0.013295105658471584,,0.028453141450881958
99,0.01177473645657301,,0.026944205164909363
100,0.011227438226342201,,0.018705755472183228
101,0.013429678045213223,,0.02664843015372753
102,0.012262552976608276,,0.01792898401618004
103,0.010892016813158989,,0.01847776025533676
104,0.011914044618606567,,0.02083832211792469
105,0.011885183863341808,,0.017329489812254906
106,0.010996177792549133,,0.017661701887845993
107,0.010623440146446228,,0.023072149604558945
108,0.010420534759759903,,0.014039493165910244
109,0.010700452141463757,,0.01816910319030285
110,0.009801311418414116,,0.016941802576184273
111,0.01046123169362545,,0.018238073214888573
112,0.009974253363907337,,0.023273389786481857
113,0.009788217954337597,,0.020570512861013412
114,0.008744261227548122,,0.02368747815489769
115,0.009616709314286709,,0.024317562580108643
116,0.009129083715379238,,0.024984674528241158
117,0.009552055038511753,,0.01705397479236126
118,0.00914012175053358,,0.03241782262921333
119,0.01045322697609663,,0.022660313174128532
120,0.008795671164989471,,0.017773598432540894
121,0.007978115230798721,,0.022907329723238945
122,0.008016455918550491,,0.011478307656943798
123,0.008694609627127647,,0.011532488279044628
124,0.008224764838814735,,0.012059018015861511
125,0.008020511828362942,,0.01734829880297184
126,0.007047166582196951,,0.020099658519029617
127,0.007410911377519369,,0.010288855992257595
128,0.007346796803176403,,0.015164989978075027
129,0.007096073590219021,,0.01940247043967247
130,0.008654843084514141,,0.018201585859060287
131,0.00769451167434454,,0.01716662384569645
132,0.007490571588277817,,0.027620084583759308
133,0.008130107074975967,,0.020302658900618553
