accepted,anchor_angular_velocity,anchor_position,anchor_position_error,anchor_quaternion,anchor_step,anchor_time,anchor_velocity,clip_count,collision_count,episode_length,error,family,goal_reached,ground_contact_count,minimum_goal_distance,nonfinite_count,planner_error,planner_interface,planner_success,recovery_episode_id,recovery_steps,reference_completed,scene_id,source_split,student_outcome,switched_state_position_error,task_id
True,"[0.3255816698074341,0.5544824004173279,0.05364531651139259]","[1.486254096031189,-0.1993430256843567,1.017237663269043]",0.30550622859066534,"[0.023374507203698158,-0.003417538944631815,0.018466921523213387,0.9995503425598145]",38,0.8125,"[0.28182873129844666,-0.5888687968254089,0.35600006580352783]",0,0,510,,BLOCK,True,0,0.13538351156521533,0,,position_only_static_zero_derivatives,True,0,471,True,BLOCK_00,TRAIN,SUCCESS,2.7014639732570442e-08,BLOCK_00_TASK_002
True,"[-0.2451852262020111,-0.07341017574071884,0.08234808593988419]","[0.9738061428070068,0.059805016964673996,0.6249490976333618]",0.3094088880520691,"[-0.046106647700071335,0.002360343234613538,0.009441775269806385,0.9988890886306763]",58,1.2291666666666667,"[0.528709888458252,-0.18665853142738342,-0.5906544923782349]",0,0,551,,BLOCK,True,0,0.010867304330823805,0,,position_only_static_zero_derivatives,True,1,492,True,BLOCK_00,TRAIN,GROUND_CONTACT,2.3252212596339412e-08,BLOCK_00_TASK_004
True,"[-0.13264288008213043,0.44300541281700134,0.2822832763195038]","[1.3183897733688354,-0.1331697255373001,1.0658169984817505]",0.30589575325894,"[0.020599355921149254,0.019329501315951347,0.01841466687619686,0.999431312084198]",50,1.0625,"[0.5677749514579773,-0.480193167924881,-0.02129712887108326]",0,0,540,,BLOCK,True,0,0.14114046517540313,0,,position_only_static_zero_derivatives,True,2,489,True,BLOCK_00,TRAIN,GROUND_CONTACT,1.5286439825193612e-08,BLOCK_00_TASK_005
True,"[-0.8180387616157532,0.0007776512647978961,0.23052440583705902]","[1.5916918516159058,-0.12917084991931915,1.1684048175811768]",0.31154250890934965,"[0.004440327174961567,0.012277957983314991,0.0008758409530855715,0.9999144077301025]",37,0.7916666666666666,"[0.34711015224456787,0.034051913768053055,0.7124817371368408]",0,0,481,,BLOCK,True,0,0.06619609242581169,0,,position_only_static_zero_derivatives,True,3,443,True,BLOCK_00,TRAIN,COLLISION,5.83268948119649e-08,BLOCK_00_TASK_008
True,"[-0.5472657084465027,-0.8685896992683411,0.5442991256713867]","[1.0780820846557617,-0.2799730896949768,1.0585315227508545]",0.3098738761844682,"[0.0014651466626673937,0.012657849118113518,0.014769483357667923,0.999809741973877]",60,1.2708333333333333,"[0.7340110540390015,-0.37391963601112366,-0.005148296244442463]",0,0,533,,BLOCK,True,0,0.01916515508339413,0,,position_only_static_zero_derivatives,True,4,472,True,BLOCK_00,TRAIN,COLLISION,5.883726872251627e-08,BLOCK_00_TASK_009
True,"[-0.6149826049804688,-0.8375067710876465,0.07629656791687012]","[1.2432832717895508,-0.32150503993034363,1.0969371795654297]",0.3056499070790877,"[0.01519368588924408,0.013995856046676636,0.012020736001431942,0.9997143149375916]",47,1.0,"[0.5261276364326477,-0.5155279040336609,0.1459112912416458]",0,0,522,,BLOCK,True,0,0.12000197829387076,0,,position_only_static_zero_derivatives,True,5,474,True,BLOCK_00,TRAIN,COLLISION,2.9799957413328075e-08,BLOCK_00_TASK_010
True,"[-0.19558531045913696,-0.026944387704133987,0.14984451234340668]","[0.7737879753112793,-0.30446910858154297,0.7471468448638916]",0.3019718983167933,"[0.0046985256485641,0.016474789008498192,0.013955133035779,0.999755859375]",53,1.125,"[0.6239203214645386,-0.44264352321624756,-0.21716289222240448]",0,0,535,,BLOCK,True,0,0.038038275596699256,0,,position_only_static_zero_derivatives,True,6,481,True,BLOCK_00,TRAIN,GROUND_CONTACT,3.0257941907688186e-08,BLOCK_00_TASK_012
True,"[-0.024260643869638443,-0.6316289901733398,0.14631463587284088]","[1.0746350288391113,0.06608925014734268,0.6921274662017822]",0.3071041079880449,"[-0.034925542771816254,-0.007863398641347885,0.011058737523853779,0.9992977976799011]",60,1.2708333333333333,"[0.5707404613494873,-0.1418503224849701,-0.574008047580719]",0,0,549,,BLOCK,True,0,0.005108256899069776,0,,position_only_static_zero_derivatives,True,7,488,True,BLOCK_00,TRAIN,GROUND_CONTACT,7.754581688775068e-09,BLOCK_00_TASK_013
True,"[-0.2847406268119812,0.5309816598892212,-0.5013456344604492]","[1.6931447982788086,0.44025009870529175,0.6885083317756653]",0.3013421520464433,"[-0.003811728674918413,-0.012676126323640347,-0.019021904096007347,0.9997314214706421]",77,1.625,"[0.4126499891281128,0.6439236402511597,-0.08104817569255829]",0,0,523,,BLOCK,True,0,0.1123846692682936,0,,position_only_static_zero_derivatives,True,8,445,True,BLOCK_00,TRAIN,COLLISION,2.8605110478820703e-08,BLOCK_00_TASK_014
True,"[-0.9235690832138062,-0.09333563596010208,-0.7708468437194824]","[1.549828290939331,-0.014300379902124405,0.9023714065551758]",0.3179208037965407,"[0.021322226151823997,-0.003265507984906435,0.010329419746994972,0.9997139573097229]",36,0.7708333333333334,"[0.21226416528224945,-0.5855000615119934,0.4152360260486603]",0,0,512,,BLOCK,True,0,0.0809874156451717,0,,position_only_static_zero_derivatives,True,9,475,True,BLOCK_00,TRAIN,COLLISION,5.704839981440473e-08,BLOCK_00_TASK_015
True,"[-0.31774747371673584,-0.31215396523475647,-0.5183629393577576]","[0.7999343872070312,-0.27142971754074097,0.845151960849762]",0.3019773414031391,"[0.005085790064185858,0.022110167890787125,0.013382583856582642,0.9996530413627625]",54,1.1458333333333333,"[0.6393094062805176,-0.4452672004699707,-0.1866465061903]",0,0,578,,BLOCK,True,0,0.06238130962011396,0,,position_only_static_zero_derivatives,True,10,523,True,BLOCK_00,TRAIN,GROUND_CONTACT,2.966165736825319e-08,BLOCK_00_TASK_016
False,"[-0.9712007641792297,0.11524101346731186,-0.10781985521316528]","[2.3927576541900635,0.9926511645317078,0.9046401381492615]",0.3055093639648906,"[0.02622024528682232,-0.016399018466472626,-0.03254185616970062,0.9989917874336243]",137,2.875,"[0.2605382204055786,-0.35593199729919434,-0.1252923309803009]",,,,planner_reference_gate_failed,BLOCK,False,,,,planner_reference_gate_failed,position_only_static_zero_derivatives,False,,,False,BLOCK_00,TRAIN,COLLISION,,BLOCK_00_TASK_020
False,"[-0.0038300398737192154,-0.7727236747741699,-0.5018661022186279]","[1.5305089950561523,0.23389846086502075,1.485748291015625]",0.30035356695291476,"[0.0034877690486609936,-0.016942905262112617,-0.004869516007602215,0.9998385310173035]",76,1.6041666666666667,"[0.604040265083313,0.06498806178569794,0.5576754808425903]",,,,planner_reference_gate_failed,BLOCK,False,,,,planner_reference_gate_failed,position_only_static_zero_derivatives,False,,,False,BLOCK_00,TRAIN,SUCCESS,,BLOCK_00_TASK_022
False,"[0.5667969584465027,-0.9463897347450256,0.5147985219955444]","[1.1298925876617432,-0.326141357421875,1.4256951808929443]",0.30197411198567,"[-0.0027695230673998594,0.005344524048268795,0.00637781573459506,0.9999615550041199]",57,1.2083333333333333,"[0.6216478943824768,-0.1380489021539688,0.4680836498737335]",,,,planner_reference_gate_failed,BLOCK,False,,,,planner_reference_gate_failed,position_only_static_zero_derivatives,False,,,False,BLOCK_00,TRAIN,SUCCESS,,BLOCK_00_TASK_023
True,"[-0.10537947714328766,0.5042698383331299,-0.3548581004142761]","[1.0553103685379028,-0.37159210443496704,0.9331998229026794]",0.30331498283161684,"[0.010778925381600857,0.02347523346543312,0.01937931776046753,0.9994784593582153]",48,1.0208333333333333,"[0.5977950692176819,-0.5261858105659485,-0.006431424990296364]",0,0,517,,BLOCK,True,0,0.07242724641046928,0,,position_only_static_zero_derivatives,True,11,468,True,BLOCK_00,TRAIN,COLLISION,3.458550826104939e-08,BLOCK_00_TASK_024
True,"[0.6445637345314026,0.15449415147304535,-0.5017668604850769]","[0.9038131833076477,-0.24465839564800262,1.0551130771636963]",0.30495974734449505,"[0.017356278374791145,0.02487487532198429,0.011982633732259274,0.9994680881500244]",49,1.0416666666666667,"[0.48208385705947876,-0.5117551684379578,0.0157170332968235]",0,0,572,,BLOCK,True,0,0.09021963665789814,0,,position_only_static_zero_derivatives,True,12,522,True,BLOCK_00,TRAIN,COLLISION,3.779754513004442e-08,BLOCK_00_TASK_025
True,"[-0.9214012622833252,-0.34913170337677,-0.4911677837371826]","[1.338136076927185,-0.010708645917475224,1.0488240718841553]",0.30660080447312515,"[-0.013290989212691784,-0.007949837483465672,0.006944573950022459,0.9998559355735779]",43,0.9166666666666666,"[0.4363026022911072,-0.25905510783195496,0.6580216288566589]",0,0,469,,BLOCK,True,0,0.057843685978477714,0,,position_only_static_zero_derivatives,True,13,425,True,BLOCK_00,TRAIN,COLLISION,3.288490830908114e-08,BLOCK_00_TASK_027
True,"[-0.09248766303062439,-0.07766950875520706,-0.32442811131477356]","[0.994844377040863,-0.3160657286643982,1.0554016828536987]",0.30106250093246845,"[0.017482105642557144,0.02109437994658947,0.012357765808701515,0.9995482563972473]",58,1.2291666666666667,"[0.6304783225059509,-0.4657093286514282,-0.1168494001030922]",0,0,560,,BLOCK,True,0,0.07822123939802238,0,,position_only_static_zero_derivatives,True,14,501,True,BLOCK_00,TRAIN,GROUND_CONTACT,5.562223848390056e-08,BLOCK_00_TASK_029
True,"[0.15600131452083588,-0.7663565278053284,0.2035646140575409]","[0.7273887991905212,0.29754188656806946,0.7696176171302795]",0.3047558896398218,"[0.012386946938931942,-0.018586894497275352,-0.009260251186788082,0.9997076392173767]",66,1.3958333333333333,"[0.49346381425857544,0.11167678982019424,-0.6361464262008667]",0,0,577,,BLOCK,True,0,0.03144223665040233,0,,position_only_static_zero_derivatives,True,15,510,True,BLOCK_00,TRAIN,GROUND_CONTACT,2.4834191791070977e-08,BLOCK_00_TASK_030
True,"[0.7285735011100769,-0.5406134128570557,0.13662104308605194]","[1.3982131481170654,-0.23263296484947205,0.9090096950531006]",0.3015486326282925,"[0.02464207448065281,0.021109430119395256,0.01705772429704666,0.9993278980255127]",43,0.9166666666666666,"[0.37441667914390564,-0.4987921118736267,0.1651192158460617]",0,0,540,,BLOCK,True,0,0.11000206882076198,0,,position_only_static_zero_derivatives,True,16,496,True,BLOCK_00,TRAIN,SUCCESS,4.3344822188801286e-08,BLOCK_00_TASK_031
