env_steps,mean_return,success_rate,collision_rate,ground_contact_rate,timeout_rate,mean_episode_steps,success,unsafe
0,-1.9200000000000015,0.0,0.0,0.0,1.0,960.0,0,0
50000,-3.0299621635738614,0.0,0.2037037037037037,0.0,0.7962962962962963,906.0370370370371,0,11
100000,1.5338055744886179,0.1111111111111111,0.07407407407407407,0.0,0.8148148148148148,885.5925925925926,6,4
150000,5.1022557749817725,0.18518518518518517,0.037037037037037035,0.0,0.7777777777777778,830.9629629629629,10,2
200000,2.76812188678666,0.2222222222222222,0.2037037037037037,0.0,0.5740740740740741,712.4074074074074,12,11
250000,-2.069537266941781,0.2037037037037037,0.42592592592592593,0.0,0.37037037037037035,632.0925925925926,11,23
300000,-1.1516351262530349,0.1111111111111111,0.2777777777777778,0.0,0.6111111111111112,703.1296296296297,6,15
350000,-1.0113175292329755,0.12962962962962962,0.2962962962962963,0.0,0.5740740740740741,677.4629629629629,7,16
400000,-7.231570648848202,0.12962962962962962,0.5925925925925926,0.0,0.2777777777777778,546.3333333333334,7,32
450000,-3.552464699899371,0.24074074074074073,0.5555555555555556,0.0,0.2037037037037037,506.68518518518516,13,30
500000,-3.394123992411189,0.25925925925925924,0.5925925925925926,0.0,0.14814814814814814,461.5925925925926,14,32
