env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,0,0.0,0,0.0,0,0.0,-1.723004610809076,54,0,0.0,0,0.0,0,0.0,0,0.0
50000,0,0.0,4,0.07407407407407407,4,0.07407407407407407,-0.3560208129372725,50,0,0.0,0,0.0,0,0.0,0,0.0
100000,7,0.12962962962962962,1,0.018518518518518517,1,0.018518518518518517,2.5681848204902105,46,7,0.3888888888888889,0,0.0,0,0.0,0,0.0
150000,9,0.16666666666666666,13,0.24074074074074073,13,0.24074074074074073,-0.41482264942555136,32,9,0.5,0,0.0,0,0.0,0,0.0
200000,10,0.18518518518518517,10,0.18518518518518517,10,0.18518518518518517,1.4446479650481105,34,10,0.5555555555555556,0,0.0,0,0.0,0,0.0
250000,8,0.14814814814814814,9,0.16666666666666666,9,0.16666666666666666,0.31881357548373535,37,8,0.4444444444444444,0,0.0,0,0.0,0,0.0
300000,15,0.2777777777777778,5,0.09259259259259259,5,0.09259259259259259,5.889140373671174,34,15,0.8333333333333334,0,0.0,0,0.0,0,0.0
350000,10,0.18518518518518517,9,0.16666666666666666,9,0.16666666666666666,2.07114719071131,35,10,0.5555555555555556,0,0.0,0,0.0,0,0.0
400000,3,0.05555555555555555,10,0.18518518518518517,10,0.18518518518518517,-1.2380581956891423,41,3,0.16666666666666666,0,0.0,0,0.0,0,0.0
450000,7,0.12962962962962962,13,0.24074074074074073,13,0.24074074074074073,-0.44170037683925045,34,7,0.3888888888888889,0,0.0,0,0.0,0,0.0
500000,11,0.2037037037037037,20,0.37037037037037035,20,0.37037037037037035,-0.7954251439911454,23,11,0.6111111111111112,0,0.0,0,0.0,0,0.0
