env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,37,0.6851851851851852,9,0.16666666666666666,9,0.16666666666666666,17.90953378159614,8,17,0.9444444444444444,9,0.5,11,0.6111111111111112,20,0.5555555555555556
50000,29,0.5370370370370371,12,0.2222222222222222,12,0.2222222222222222,13.416550406537672,13,17,0.9444444444444444,5,0.2777777777777778,7,0.3888888888888889,12,0.3333333333333333
100000,33,0.6111111111111112,10,0.18518518518518517,10,0.18518518518518517,15.604662597114855,11,17,0.9444444444444444,6,0.3333333333333333,10,0.5555555555555556,16,0.4444444444444444
150000,32,0.5925925925925926,10,0.18518518518518517,10,0.18518518518518517,15.071065307458788,12,16,0.8888888888888888,9,0.5,7,0.3888888888888889,16,0.4444444444444444
200000,33,0.6111111111111112,11,0.2037037037037037,11,0.2037037037037037,15.296436144508446,10,17,0.9444444444444444,7,0.3888888888888889,9,0.5,16,0.4444444444444444
250000,17,0.3148148148148148,18,0.3333333333333333,18,0.3333333333333333,5.857500511755067,19,14,0.7777777777777778,0,0.0,3,0.16666666666666666,3,0.08333333333333333
300000,19,0.35185185185185186,20,0.37037037037037035,20,0.37037037037037035,5.209426272841061,15,13,0.7222222222222222,0,0.0,6,0.3333333333333333,6,0.16666666666666666
350000,22,0.4074074074074074,18,0.3333333333333333,18,0.3333333333333333,7.11994517416494,14,11,0.6111111111111112,3,0.16666666666666666,8,0.4444444444444444,11,0.3055555555555556
400000,15,0.2777777777777778,16,0.2962962962962963,16,0.2962962962962963,5.176923831578848,23,7,0.3888888888888889,4,0.2222222222222222,4,0.2222222222222222,8,0.2222222222222222
450000,11,0.2037037037037037,18,0.3333333333333333,18,0.3333333333333333,2.5393612215702404,25,7,0.3888888888888889,2,0.1111111111111111,2,0.1111111111111111,4,0.1111111111111111
500000,5,0.09259259259259259,23,0.42592592592592593,24,0.4444444444444444,-2.4240063173196456,25,4,0.2222222222222222,0,0.0,1,0.05555555555555555,1,0.027777777777777776
