env_steps,mean_return,success_rate,success,collision_rate,unsafe,timeout_rate,mean_episode_steps,prior_norm_mean,residual_norm_mean,scaled_residual_norm_mean,final_action_norm_mean,projection_fraction
0,17.90953378159614,0.6851851851851852,37,0.16666666666666666,9,0.14814814814814814,454.9074074074074,0.6802847325171695,0.0,0.0,0.6802847325171695,0.0
50000,12.125891789930801,0.5370370370370371,29,0.25925925925925924,14,0.2037037037037037,464.74074074074076,0.6202711421055337,0.048414186484641936,0.012103546621160484,0.6212724725427412,0.028211667197959835
100000,12.698255045970022,0.5925925925925926,32,0.2777777777777778,15,0.12962962962962962,394.5,0.6583222511454416,0.06159816616805572,0.01539954154201393,0.6582230685805311,0.018119513683518752
150000,13.929697826890164,0.6296296296296297,34,0.2777777777777778,15,0.09259259259259259,363.85185185185185,0.7571049950645723,0.059469555538546895,0.014867388884636724,0.7574373013833552,0.012011400651465798
200000,14.075242915113416,0.6481481481481481,35,0.2777777777777778,15,0.07407407407407407,325.462962962963,0.7942595980382043,0.06624282241455819,0.016560705603639547,0.7949260251239938,0.024011379800853484
250000,12.873222175604521,0.6111111111111112,33,0.2962962962962963,16,0.09259259259259259,356.05555555555554,0.7306136619797595,0.08498010859923434,0.021245027149808585,0.7351445417626746,0.0563790502938576
300000,8.69645039462666,0.42592592592592593,23,0.2962962962962963,16,0.2777777777777778,456.9074074074074,0.5609936786040081,0.1020727661664181,0.025518191541604524,0.5677781593512147,0.06529404612329266
350000,10.493017248498067,0.48148148148148145,26,0.2777777777777778,15,0.24074074074074073,447.51851851851853,0.5890705624223275,0.11956003819788497,0.02989000954947124,0.5959522753372165,0.06591905983613341
400000,5.07204080342026,0.3333333333333333,18,0.37037037037037035,20,0.2962962962962963,439.8333333333333,0.5579607128380911,0.12109193818023826,0.030272984545059566,0.5656472924108987,0.07321796976969391
450000,5.832154777982058,0.37037037037037035,20,0.37037037037037035,20,0.25925925925925924,436.77777777777777,0.5634577149604711,0.12771139105125334,0.031927847762813336,0.5708535971707713,0.09950818282031713
500000,4.557429741045484,0.3148148148148148,17,0.37037037037037035,20,0.3148148148148148,462.81481481481484,0.529643507983327,0.13963403087517376,0.03490850771879344,0.5379878553197155,0.08894846350832267
