method,family,tasks,success,success_rate,unsafe,timeout,mean_return
diffusion_only,DOUBLE_ALTERNATING,9,4,0.4444444444444444,1,4,16.138289749686095
diffusion_only,NARROW_GATE,9,3,0.3333333333333333,6,0,-0.5304996598667001
diffusion_only,OFFSET_TWIN_GATE,9,2,0.2222222222222222,5,2,2.0605056414790703
diffusion_only,TRIPLE_CHICANE,9,0,0.0,2,7,4.792710924828844
diffusion_only,WIDE_LATERAL_DETOUR,9,1,0.1111111111111111,8,0,-11.157640920539116
diffusion_ppo_seed_20260812,ALL,54,10,0.18518518518518517,30,14,-0.6031112875163614
diffusion_ppo_seed_20260812,DIAGONAL_CROSSOVER,9,0,0.0,8,1,-14.922033460686366
diffusion_ppo_seed_20260812,DOUBLE_ALTERNATING,9,4,0.4444444444444444,1,4,16.138289749686095
diffusion_ppo_seed_20260812,NARROW_GATE,9,3,0.3333333333333333,6,0,-0.5304996598667001
diffusion_ppo_seed_20260812,OFFSET_TWIN_GATE,9,2,0.2222222222222222,5,2,2.0605056414790703
diffusion_ppo_seed_20260812,TRIPLE_CHICANE,9,0,0.0,2,7,4.792710924828844
diffusion_ppo_seed_20260812,WIDE_LATERAL_DETOUR,9,1,0.1111111111111111,8,0,-11.157640920539116
diffusion_ppo_seed_20260813,ALL,54,10,0.18518518518518517,30,14,-0.6031112875163614
diffusion_ppo_seed_20260813,DIAGONAL_CROSSOVER,9,0,0.0,8,1,-14.922033460686366
diffusion_ppo_seed_20260813,DOUBLE_ALTERNATING,9,4,0.4444444444444444,1,4,16.138289749686095
diffusion_ppo_seed_20260813,NARROW_GATE,9,3,0.3333333333333333,6,0,-0.5304996598667001
diffusion_ppo_seed_20260813,OFFSET_TWIN_GATE,9,2,0.2222222222222222,5,2,2.0605056414790703
diffusion_ppo_seed_20260813,TRIPLE_CHICANE,9,0,0.0,2,7,4.792710924828844
diffusion_ppo_seed_20260813,WIDE_LATERAL_DETOUR,9,1,0.1111111111111111,8,0,-11.157640920539116
diffusion_ppo_seed_20260814,ALL,54,10,0.18518518518518517,30,14,-0.6031112875163614
diffusion_ppo_seed_20260814,DIAGONAL_CROSSOVER,9,0,0.0,8,1,-14.922033460686366
diffusion_ppo_seed_20260814,DOUBLE_ALTERNATING,9,4,0.4444444444444444,1,4,16.138289749686095
diffusion_ppo_seed_20260814,NARROW_GATE,9,3,0.3333333333333333,6,0,-0.5304996598667001
diffusion_ppo_seed_20260814,OFFSET_TWIN_GATE,9,2,0.2222222222222222,5,2,2.0605056414790703
diffusion_ppo_seed_20260814,TRIPLE_CHICANE,9,0,0.0,2,7,4.792710924828844
diffusion_ppo_seed_20260814,WIDE_LATERAL_DETOUR,9,1,0.1111111111111111,8,0,-11.157640920539116
