fraction,seed,bc_rate,diffusion_rate,diffusion_minus_bc
25,20260820,0.48148148148148145,0.5,0.018518518518518545
25,20260821,0.5,0.7407407407407407,0.2407407407407407
25,20260822,0.5370370370370371,0.46296296296296297,-0.07407407407407413
50,20260820,0.5185185185185185,0.6296296296296297,0.11111111111111116
50,20260821,0.6851851851851852,0.5740740740740741,-0.11111111111111116
50,20260822,0.6296296296296297,0.48148148148148145,-0.1481481481481482
100,20260820,0.5925925925925926,0.5,-0.09259259259259256
100,20260821,0.7407407407407407,0.5185185185185185,-0.2222222222222222
100,20260822,0.6851851851851852,0.42592592592592593,-0.2592592592592593
