action_norm_mean,action_trace_hash,ambiguity_anchor_count,ambiguity_fraction_above_train_local_variance_p95,ambiguity_mean_cosine_to_neighbor_mean,ambiguity_neighbor_action_mean,ambiguity_neighbor_action_std_norm_max,ambiguity_neighbor_action_std_norm_mean,ambiguity_neighbor_action_std_norm_p95,ambiguity_neighbor_action_std_xyz_mean,collision,collision_audit_action_dot_nearest_ray_0.25s,collision_audit_action_dot_nearest_ray_0.5s,collision_audit_action_dot_nearest_ray_1s,collision_audit_category,collision_audit_diffusion_action_norm_0.25s,collision_audit_diffusion_action_norm_0.5s,collision_audit_diffusion_action_norm_1s,collision_audit_horizontal_speed_0.25s,collision_audit_horizontal_speed_0.5s,collision_audit_horizontal_speed_1s,collision_audit_minimum_ray_inferred_distance_m_0.25s,collision_audit_minimum_ray_inferred_distance_m_0.5s,collision_audit_minimum_ray_inferred_distance_m_1s,collision_audit_minimum_ray_normalized_0.25s,collision_audit_minimum_ray_normalized_0.5s,collision_audit_minimum_ray_normalized_1s,divergence_action_norm_at_divergence,divergence_divergence_time,divergence_nearest_train_distance_at_divergence,divergence_position_error,divergence_ray_min_at_divergence,error,family,final_goal_distance,fraction_norm_gt_0.80,fraction_norm_gt_0.90,fraction_norm_gt_0.95,fraction_norm_gt_0.99,ground_audit_category,ground_audit_final_1s_ood_fraction_above_train_p95,ground_audit_fraction_final_1s_action_z_negative,ground_audit_mean_final_1s_action_z,ground_audit_minimum_altitude,ground_audit_minimum_vertical_velocity,ground_contact,minimum_goal_distance,nonfinite,offline_cosine_similarity,offline_first_action_MAE,offline_first_action_MSE,ood_anchor_count,ood_fraction_above_train_p95,ood_fraction_above_train_p99,ood_max_nn_distance,ood_mean_nn_distance,outcome,scene_id,steps,success,task_id,time,timeout,timeout_audit_action_direction_sign_changes,timeout_audit_category,timeout_audit_final_goal_distance,timeout_audit_initial_goal_distance,timeout_audit_last_5s_goal_distance_slope,timeout_audit_minimum_goal_distance,timeout_audit_progress
0.6519417935690864,e75fa7af6026cb6c16badc06f6e4909d09f5bc1cb073f8960fb142d8dc3cdf7c,6,0.0,0.9729015967567602,"[0.5340931415557861,-0.023758165538311005,-0.09483292698860168]",0.13332509994506836,0.07112321102370818,0.1289893388748169,"[0.07044777274131775,0.09641505032777786,0.038274772465229034]",0,,,,,,,,,,,,,,,,,0.9449948668479919,1.4583333333333333,3.8048394084988826,0.30285487560608754,1.0,,OPEN,3.472540648872105,0.5725190839694656,0.5343511450381679,0.2595419847328244,0.0,persistent_downward,0.6666666666666666,1.0,-0.7537705091138681,0.013879302342748333,-0.617907673678541,1,3.472540648872105,0,0.7766492278486801,0.008230874314904213,0.00012270572187844664,6,0.6666666666666666,0.6666666666666666,4.227753715562971,2.555061429161757,GROUND_CONTACT,OPEN_00,131,False,OPEN_00_TASK_008,2.7291666666666665,False,,,,,,,
0.8296336681503831,cecb4f89088f504a2d5887256f94c19203c2dc967c16b195cf6aafd314c101ab,11,0.0,0.9870564601255324,"[0.7525305151939392,-0.1424032598733902,-0.07180124521255493]",0.12637896835803986,0.03796379953961481,0.12078772857785225,"[0.0518905371427536,0.07728176563978195,0.05604070425033569]",0,,,,,,,,,,,,,,,,,,,,,,,OPEN,0.2853001872866103,0.7977099236641222,0.7290076335877863,0.6259541984732825,0.0,,,,,,,0,0.2853001872866103,0,0.7472557119021658,0.008070321753621101,0.0001285446633119136,11,0.6363636363636364,0.0,1.462887698464114,1.1889521889919172,SUCCESS,OPEN_00,262,True,OPEN_00_TASK_009,5.458333333333333,False,,,,,,,
0.30480037528080856,3a47fbb5e87ad51971f551fad28b010c6459de85299bb7640eaa3be11e685485,38,0.0,0.33785027894488195,"[0.2438153773546219,0.03640223667025566,0.051924142986536026]",0.13382412493228912,0.01839958212842364,0.09156826511025422,"[0.022674819454550743,0.04288305714726448,0.017186298966407776]",0,,,,,,,,,,,,,,,,,0.9799309372901917,2.125,1.6732978260861031,0.303402295792095,1.0,,OPEN,0.2999717933394953,0.25027808676307006,0.22914349276974416,0.1935483870967742,0.006674082313681869,,,,,,,0,0.2999717933394953,0,0.7476167425620234,0.007416596636176109,9.397564281243831e-05,38,0.7894736842105263,0.4473684210526316,2.605632513759285,1.483271650084025,SUCCESS,OPEN_00,899,True,OPEN_00_TASK_011,18.729166666666668,False,,,,,,,
0.9045447661539291,0f0fd6b76e99892e4969a8abe48f5b294565c7b84457c596904d3778e513f728,19,0.0,0.9785694341032412,"[0.7425201535224915,-0.0666840672492981,-0.02311977930366993]",0.1058521419763565,0.039810116353787874,0.09295153468847271,"[0.0570380762219429,0.12120047211647034,0.0891265720129013]",0,,,,,,,,,,,,,,,,,0.9518815279006958,1.25,3.2672389961331763,0.30058017132501164,1.0,,OPEN,0.2966304310270523,0.8752834467120182,0.8253968253968254,0.7687074829931972,0.10430839002267574,,,,,,,0,0.2966304310270523,0,0.7584899587641586,0.01138941291719675,0.0002454826608300209,19,0.9473684210526315,0.9473684210526315,6.501844487114485,3.991017623558605,SUCCESS,OPEN_00,441,True,OPEN_00_TASK_018,9.1875,False,,,,,,,
0.7891992295094068,2f88a61f8ec8e3cf247ecf3da793f8bce72c39e1abdbd1dc9282ad22b32812ea,10,0.1,0.9641249226115999,"[0.7061055898666382,-0.038685232400894165,-0.0886041522026062]",0.19649773836135864,0.04932133872061968,0.1501540347933768,"[0.058007728308439255,0.13449689745903015,0.0445132777094841]",0,,,,,,,,,,,,,,,,,0.9690561294555664,1.5625,1.3977708673722404,0.30269944471763327,1.0,,OPEN,1.2211616542878956,0.7130044843049327,0.6905829596412556,0.6412556053811659,0.05829596412556054,persistent_downward,0.9,1.0,-0.5657356350372235,0.011193402726443476,-0.4925102917074158,1,1.2211616542878956,0,0.7239587626176625,0.009584936313331127,0.00017507313168607652,10,0.9,0.8,3.4980806174627825,1.9757837192683287,GROUND_CONTACT,OPEN_00,223,False,OPEN_00_TASK_026,4.645833333333333,False,,,,,,,
0.8155622026834048,e47defe43c996b4486a999f2dcde7fd154186ed89d944173b0314feff86c97d9,12,0.0,0.986403132142184,"[0.7519358992576599,-0.13142789900302887,-0.009541092440485954]",0.14744111895561218,0.04282430415817847,0.11909722387790676,"[0.0568615086376667,0.09371400624513626,0.041791852563619614]",0,,,,,,,,,,,,,,,,,,,,,,,OPEN,0.29991180412020757,0.7614035087719299,0.712280701754386,0.624561403508772,0.0,,,,,,,0,0.29991180412020757,0,0.7635935944129869,0.007911481894552708,0.00011998891568509862,12,0.16666666666666666,0.0,1.2189237530354522,0.9622987611697645,SUCCESS,OPEN_00,285,True,OPEN_00_TASK_033,5.9375,False,,,,,,,
0.8765826224243454,384daee4fd6c46f071a344f268812e14965fc902aa0a95796f26c32b547dae44,18,0.2777777777777778,0.9556952695297153,"[0.6768553256988525,0.21231141686439514,0.1564333438873291]",0.397017240524292,0.11256431040561034,0.344128993153572,"[0.12658041715621948,0.08901230990886688,0.05984461307525635]",0,,,,,,,,,,,,,,,,,0.9864909648895264,1.0625,3.1724975881981425,0.3110852046548761,1.0,,OPEN,0.29492757783904155,0.864406779661017,0.5351089588377724,0.43099273607748184,0.2639225181598063,,,,,,,0,0.29492757783904155,0,0.7614590320562438,0.008221335709095001,0.00013766568736173213,18,0.9444444444444444,0.9444444444444444,4.118519452986184,3.218395237841745,SUCCESS,OPEN_01,413,True,OPEN_01_TASK_014,8.604166666666666,False,,,,,,,
0.8780983527879954,1e807e57337c134b2ee9cf1db7ec23125f783f8f97a2d175498d61229b94b32d,12,0.08333333333333333,0.9805926735777515,"[0.7124214172363281,0.26624757051467896,0.06676594167947769]",0.2204955667257309,0.05993786706433942,0.1839622043073177,"[0.07806921750307083,0.08909190446138382,0.05731421709060669]",0,,,,,,,,,,,,,,,,,0.991554319858551,1.5,1.8680631067224562,0.30159722321987537,1.0,,OPEN,0.29599496229256445,0.8029739776951673,0.7434944237918215,0.6951672862453532,0.5241635687732342,,,,,,,0,0.29599496229256445,0,0.7551126221302282,0.006278139539062977,7.176296639954671e-05,12,0.9166666666666666,0.75,2.5828908329613376,1.734836957357514,SUCCESS,OPEN_01,269,True,OPEN_01_TASK_017,5.604166666666667,False,,,,,,,
0.7417315020479482,c5929df7899ac3847a8db99ef65edfcfd2418a4fd008762de8dc1af5773bb325,16,0.0625,0.8656273091199621,"[0.5881874561309814,0.2524975538253784,0.13062183558940887]",0.2562079131603241,0.0636404555407353,0.16754482313990593,"[0.07502973079681396,0.07098264992237091,0.03823300823569298]",0,,,,,,,,,,,,,,,,,0.9939265251159668,0.7083333333333334,2.845298790696409,0.30652412200325224,1.0,,OPEN,0.299845012795013,0.5175202156334232,0.4420485175202156,0.41509433962264153,0.25336927223719674,,,,,,,0,0.299845012795013,0,0.7373304834711277,0.00801148172467947,0.0001331899838987738,16,0.875,0.8125,3.334403300441572,2.29705458296316,SUCCESS,OPEN_01,371,True,OPEN_01_TASK_028,7.729166666666667,False,,,,,,,
0.8181800333438262,3b9a7bbf4474a13480750bab14001d775eb7371a7a324799d3b00407738776fa,18,0.1111111111111111,0.9754532554228419,"[0.6555396914482117,0.27807360887527466,0.09249197691679001]",0.23467586934566498,0.07270907128177997,0.18036401569843283,"[0.08422835916280746,0.06996970623731613,0.044187188148498535]",0,,,,,,,,,,,,,,,,,0.9889129996299744,1.7916666666666667,1.7948930565341643,0.30233714568804976,1.0,,OPEN,0.29611278193002494,0.7307692307692307,0.5745192307692307,0.5240384615384616,0.32211538461538464,,,,,,,0,0.29611278193002494,0,0.7935231370744256,0.008981048129498959,0.00014941646077204496,18,0.9444444444444444,0.8888888888888888,3.274828210384321,2.0042674971378114,SUCCESS,OPEN_01,416,True,OPEN_01_TASK_029,8.666666666666666,False,,,,,,,
