action_direction_sign_changes,action_dot_nearest_ray_0.25s,action_dot_nearest_ray_0.5s,action_dot_nearest_ray_1s,category,diffusion_action_norm_0.25s,diffusion_action_norm_0.5s,diffusion_action_norm_1s,failure_type,final_1s_ood_fraction_above_train_p95,final_goal_distance,fraction_final_1s_action_z_negative,horizontal_speed_0.25s,horizontal_speed_0.5s,horizontal_speed_1s,initial_goal_distance,last_5s_goal_distance_slope,mean_final_1s_action_z,minimum_altitude,minimum_goal_distance,minimum_ray_inferred_distance_m_0.25s,minimum_ray_inferred_distance_m_0.5s,minimum_ray_inferred_distance_m_1s,minimum_ray_normalized_0.25s,minimum_ray_normalized_0.5s,minimum_ray_normalized_1s,minimum_vertical_velocity,progress,task_id
,0.30921063946819877,0.29868653073859514,0.47967738583929237,obstacle_visible_but_unsafe_action,0.9976260811090469,0.9971659556031227,0.9828681039313475,collision,,,,0.7925898426985669,0.7858829919592898,0.7642642869501604,,,,,,0.06495038980795395,0.06495038980795395,0.06495038980795395,0.02165012993598465,0.02165012993598465,0.02165012993598465,,,BLOCK_00_TASK_003
,0.3710855384867589,0.592465981890795,0.6999172985587805,obstacle_visible_but_unsafe_action,0.9924149811267853,0.9857728903492292,0.9783307413260142,collision,,,,0.7856867120076311,0.7739923348879433,0.7727817927231762,,,,,,0.06314317414144346,0.06314317414144346,0.06314317414144346,0.021047724713814487,0.021047724713814487,0.021047724713814487,,,BLOCK_00_TASK_035
,0.8449563775824142,0.8502533951842365,0.8407725732525567,obstacle_visible_but_unsafe_action,0.951127807299296,0.9531248832742373,0.9633516781032085,collision,,,,0.31193966201929885,0.322919765082691,0.4036006879857538,,,,,,0.021317491181638705,0.021317491181638705,0.021317491181638705,0.007105830393879568,0.007105830393879568,0.007105830393879568,,,BLOCK_01_TASK_030
,0.11801391752664799,0.10358168198748413,0.13165846358176236,obstacle_visible_but_unsafe_action,0.9967569957176844,0.9974109133084615,0.997900977730751,collision,,,,0.7722344150187377,0.7870496318594465,0.7976883532709818,,,,,,0.06389141539602841,0.06389141539602841,0.06389141539602841,0.021297138465342806,0.021297138465342806,0.021297138465342806,,,BLOCK_02_TASK_024
,0.8211256546966856,0.8403106853216649,0.7920500214027756,obstacle_visible_but_unsafe_action,0.9215027789274851,0.9439649060368538,0.9614198741813501,collision,,,,0.32597294753957234,0.360846041323563,0.46514591058074245,,,,,,0.02270692686034813,0.02270692686034813,0.02270692686034813,0.007568975620116042,0.007568975620116042,0.007568975620116042,,,BLOCK_02_TASK_039
,0.8384003382492945,0.8193778102805518,0.7477273669908859,obstacle_visible_but_unsafe_action,0.9737949917713801,0.974227803448836,0.9773464066286882,collision,,,,0.28285007653165417,0.2533440898419842,0.3112757989435575,,,,,,0.02213804702401938,0.02213804702401938,0.02213804702401938,0.00737934900800646,0.00737934900800646,0.00737934900800646,,,SBEND_00_TASK_016
,0.3115085002420351,0.3203643312856679,0.3154933668263271,obstacle_visible_but_unsafe_action,0.9140159885088602,0.9168448572357496,0.9413132928311825,collision,,,,0.3196160441478386,0.31311763153131245,0.3027068255221916,,,,,,0.06232323685287022,0.06232323685287022,0.06232323685287022,0.020774412284290073,0.020774412284290073,0.020774412284290073,,,SBEND_00_TASK_033
,0.8060896521720159,0.8146211059994148,0.8134554051188401,obstacle_visible_but_unsafe_action,0.9848022311925888,0.9853714928030968,0.9817841288944086,collision,,,,0.45317852664659014,0.44239499032524837,0.37966817941424796,,,,,,0.023752163866052847,0.023752163866052847,0.023752163866052847,0.007917387955350949,0.007917387955350949,0.007917387955350949,,,SBEND_01_TASK_020
,0.3102730402962403,0.2737560126949333,0.2879948930329051,obstacle_visible_but_unsafe_action,0.9978674004475275,0.9980023975173632,0.9942721451322237,collision,,,,0.7704488037602752,0.7825677861161505,0.7820216066941956,,,,,,0.06766186139687523,0.06766186139687523,0.06766186139687523,0.02255395379895841,0.02255395379895841,0.02255395379895841,,,SBEND_01_TASK_044
,,,,persistent_downward,,,,ground_contact,0.6666666666666666,,1.0,,,,,,-0.7537705091138681,0.013879302342748333,,,,,,,,-0.617907673678541,,OPEN_00_TASK_008
