seed,delta_success_auc_0_500k,delta_success_auc_0_200k,delta_collision_auc_0_500k,delta_unsafe_auc_0_500k,delta_return_auc_0_500k,delta_obstacle_success_auc_0_500k
20260812,0.3388888888888889,0.45138888888888884,-0.05925925925925926,-0.05925925925925926,12.854433478671588,0.3152777777777778
20260813,0.29166666666666674,0.5,0.12037037037037038,0.12129629629629632,8.445251818655494,0.28472222222222227
20260814,0.262037037037037,0.39814814814814825,0.10648148148148145,0.10648148148148145,7.135527189939827,0.25277777777777777
