env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,31,0.5740740740740741,12,0.2222222222222222,12,0.2222222222222222,13.354353314942598,11,15,0.8333333333333334,8,0.4444444444444444,8,0.4444444444444444,16,0.4444444444444444
50000,27,0.5,17,0.3148148148148148,17,0.3148148148148148,10.02585790666263,10,16,0.8888888888888888,4,0.2222222222222222,7,0.3888888888888889,11,0.3055555555555556
100000,26,0.48148148148148145,21,0.3888888888888889,21,0.3888888888888889,7.968674293998295,7,16,0.8888888888888888,1,0.05555555555555555,9,0.5,10,0.2777777777777778
150000,35,0.6481481481481481,16,0.2962962962962963,16,0.2962962962962963,13.829720387570752,3,18,1.0,4,0.2222222222222222,13,0.7222222222222222,17,0.4722222222222222
200000,25,0.46296296296296297,20,0.37037037037037035,20,0.37037037037037035,7.518075463020565,9,15,0.8333333333333334,3,0.16666666666666666,7,0.3888888888888889,10,0.2777777777777778
250000,26,0.48148148148148145,24,0.4444444444444444,24,0.4444444444444444,6.474815053025007,4,18,1.0,1,0.05555555555555555,7,0.3888888888888889,8,0.2222222222222222
300000,20,0.37037037037037035,23,0.42592592592592593,23,0.42592592592592593,3.907493053239504,11,14,0.7777777777777778,1,0.05555555555555555,5,0.2777777777777778,6,0.16666666666666666
350000,18,0.3333333333333333,29,0.5370370370370371,29,0.5370370370370371,0.887005848541497,7,15,0.8333333333333334,0,0.0,3,0.16666666666666666,3,0.08333333333333333
400000,18,0.3333333333333333,27,0.5,27,0.5,1.3820824240661653,9,16,0.8888888888888888,1,0.05555555555555555,1,0.05555555555555555,2,0.05555555555555555
450000,13,0.24074074074074073,30,0.5555555555555556,30,0.5555555555555556,-1.9712977314379514,11,13,0.7222222222222222,0,0.0,0,0.0,0,0.0
500000,18,0.3333333333333333,30,0.5555555555555556,30,0.5555555555555556,0.22031570787451552,6,14,0.7777777777777778,0,0.0,4,0.2222222222222222,4,0.1111111111111111
