model,pass,family,count,success,success_rate,collision,ground,unsafe,timeout,nonfinite,mean_return,mean_steps
DIFFUSION,10,SINGLE_BLOCK,100,96,0.96,0,0,0,4,0,29.661982571339262,463.29
DIFFUSION,10,OFFSET_BLOCK,100,90,0.9,0,0,0,10,0,27.938153111136863,494.95
DIFFUSION,10,DOUBLE_BLOCK,100,93,0.93,0,0,0,7,0,28.897034240560906,474.19
DIFFUSION,10,ALTERNATING_BLOCKS,100,93,0.93,0,0,0,7,0,29.205942597876643,475.04
DIFFUSION,10,SBEND_RANDOM,100,96,0.96,0,0,0,4,0,29.647714869613672,464.57
DIFFUSION,10,CHICANE_RANDOM,100,94,0.94,0,0,0,6,0,29.264800613150037,477.13
DIFFUSION,10,NARROW_GATE,100,93,0.93,3,0,3,4,0,28.350976163732234,457.04
DIFFUSION,10,DOUBLE_GATE,100,81,0.81,15,0,15,4,0,23.22616453400349,451.34
DIFFUSION,10,LATERAL_DETOUR,100,90,0.9,0,0,0,10,0,27.895123925190745,494.21
DIFFUSION,10,MIXED_CLUTTER,100,94,0.94,0,0,0,6,0,29.476329336080717,473.21
DIFFUSION,20,SINGLE_BLOCK,100,79,0.79,0,1,1,20,0,23.53280253610431,555.2
DIFFUSION,20,OFFSET_BLOCK,100,87,0.87,0,0,0,13,0,26.8480670680769,513.95
DIFFUSION,20,DOUBLE_BLOCK,100,84,0.84,0,1,1,15,0,25.609006351812845,521.74
DIFFUSION,20,ALTERNATING_BLOCKS,100,88,0.88,0,0,0,12,0,26.74152256165344,511.52
DIFFUSION,20,SBEND_RANDOM,100,87,0.87,0,0,0,13,0,26.282863564394347,518.06
DIFFUSION,20,CHICANE_RANDOM,100,83,0.83,0,2,2,15,0,24.83132404466474,525.12
DIFFUSION,20,NARROW_GATE,100,70,0.7,9,0,9,21,0,19.58387212848911,528.38
DIFFUSION,20,DOUBLE_GATE,100,58,0.58,10,0,10,32,0,16.161381451221317,590.39
DIFFUSION,20,LATERAL_DETOUR,100,86,0.86,0,0,0,14,0,25.899052783955973,521.9
DIFFUSION,20,MIXED_CLUTTER,100,86,0.86,0,0,0,14,0,26.20134465810517,521.75
DIFFUSION,30,SINGLE_BLOCK,100,82,0.82,0,0,0,18,0,24.04141317906752,544.37
DIFFUSION,30,OFFSET_BLOCK,100,85,0.85,0,0,0,15,0,25.23556309696854,529.01
DIFFUSION,30,DOUBLE_BLOCK,100,86,0.86,0,0,0,14,0,25.626449117897,524.04
DIFFUSION,30,ALTERNATING_BLOCKS,100,89,0.89,0,0,0,11,0,26.707091026464422,508.15
DIFFUSION,30,SBEND_RANDOM,100,86,0.86,0,0,0,14,0,25.800333449585946,526.66
DIFFUSION,30,CHICANE_RANDOM,100,87,0.87,0,0,0,13,0,25.967773667145956,521.98
DIFFUSION,30,NARROW_GATE,100,80,0.8,1,0,1,19,0,23.403113608997423,546.5
DIFFUSION,30,DOUBLE_GATE,100,69,0.69,9,0,9,22,0,18.443011007065408,543.47
DIFFUSION,30,LATERAL_DETOUR,100,81,0.81,0,0,0,19,0,23.90080164121333,549.21
DIFFUSION,30,MIXED_CLUTTER,100,80,0.8,0,0,0,20,0,23.563326457337812,552.65
