task_id,family,steps,undiscounted_return,gamma_1_return,gamma_0_99_return,negative_progress_step_fraction,longest_negative_progress_steps,longest_negative_progress_duration_s,max_distance_increase_before_recovery,delayed_detour_recovery_reward_gamma_1,delayed_detour_recovery_reward_gamma_0_99,delayed_positive_progress_gamma_1,delayed_positive_progress_gamma_0_99,expert_success
OPEN_00_TASK_008,OPEN,450,27.318473040791247,27.318473040791247,1.7472408270338893,0.14888888888888888,27,0.5625,0.013053186257886644,27.318473040791247,1.7472408270338893,8.251320388654907,1.726247740702209,1
OPEN_00_TASK_009,OPEN,391,26.25354046424085,26.25354046424085,1.9289817633430295,0.2071611253196931,45,0.9375,0.022542062662013543,26.25354046424085,1.9289817633430295,7.0837866977229655,1.729797844902245,1
OPEN_00_TASK_011,OPEN,403,26.505334914271156,26.505334914271156,2.056503349293031,0.13647642679900746,20,0.4166666666666667,0.005177461898007624,26.509334505905112,2.1023190908345963,7.329395100650989,1.9403151656674706,1
OPEN_00_TASK_018,OPEN,433,27.039892037264245,27.039892037264245,1.786905813858275,0.12702078521939955,29,0.6041666666666666,0.013127605982881367,27.039892037264245,1.786905813858275,7.939411802366751,1.7249141851520646,1
OPEN_00_TASK_026,OPEN,374,25.894016556243674,25.894016556243674,1.9988564765534762,0.1497326203208556,22,0.4583333333333333,0.01572358594579721,19.78296429903757,7.705312108487158,0.010351348629975263,0.006066039234548929,1
OPEN_00_TASK_033,OPEN,417,26.764262759666313,26.764262759666313,1.8116012192480118,0.09112709832134293,31,0.6458333333333334,0.00625408429314888,19.832624447814208,8.149117976415026,0.02429892543161169,0.016325186602050484,1
OPEN_01_TASK_014,OPEN,413,26.817901218217035,26.817901218217035,2.0537193481860365,0.14527845036319612,21,0.4375,0.013148881898116343,26.817901218217035,2.0537193481860365,7.672757795694995,1.933164990425357,1
OPEN_01_TASK_017,OPEN,412,26.713815548393796,26.713815548393796,1.9860643745769573,0.11650485436893204,16,0.3333333333333333,0.004010431157448577,26.713815548393796,1.9860643745769573,7.55160987363615,1.861793206396963,1
OPEN_01_TASK_028,OPEN,381,26.252420988228458,26.252420988228458,2.1413641075827545,0.14435695538057744,41,0.8541666666666666,0.011329786895021635,19.800262153127957,7.6397399588539265,0.014374258041431318,0.007509131349655715,1
OPEN_01_TASK_029,OPEN,476,28.040815555079057,28.040815555079057,1.6490673048076563,0.10084033613445378,17,0.3541666666666667,0.005446499986818017,28.040815555079057,1.6490673048076563,9.011152499142803,1.6787324027377328,1
OPEN_01_TASK_031,OPEN,465,27.811124767121626,27.811124767121626,1.7051933308780876,0.10967741935483871,16,0.3333333333333333,0.006990821423133026,27.81512454474912,1.7438762457969423,8.761999606780957,1.7497298369830148,1
OPEN_01_TASK_037,OPEN,427,27.118658251202213,27.118658251202213,1.8960424578223254,0.14988290398126464,20,0.4166666666666667,0.01162131789272302,27.122658134100035,1.9386004904807148,8.000743972403447,1.8545429575927077,1
OPEN_02_TASK_004,OPEN,396,26.316446405886996,26.316446405886996,1.9471651280309674,0.14646464646464646,24,0.5,0.01317415356593625,19.790475044282157,7.871417439355264,0.012567634274928664,0.007307746973441141,1
OPEN_02_TASK_008,OPEN,363,25.704577493835494,25.704577493835494,2.211114458813305,0.19834710743801653,32,0.6666666666666666,0.019237202627370095,19.77152559474526,7.623666458248461,0.012891730564177792,0.009519260175822743,1
OPEN_02_TASK_015,OPEN,365,25.78617449469923,25.78617449469923,2.1188830019596474,0.18904109589041096,49,1.0208333333333333,0.010627218595552821,19.790745562808894,7.719053095752743,0.015212366800265432,0.011099584433701275,1
OPEN_02_TASK_017,OPEN,374,25.904737091026433,25.904737091026433,2.233566419051588,0.1657754010695187,20,0.4166666666666667,0.009032543095130678,25.904737091026433,2.233566419051588,6.679752742383196,1.9592277719410345,1
OPEN_02_TASK_018,OPEN,369,25.795568703422873,25.795568703422873,2.1670084719984253,0.16260162601626016,23,0.4791666666666667,0.0059848396600111695,19.798030320679977,7.644199346132472,0.006477716925770913,0.004304937884586057,1
OPEN_02_TASK_019,OPEN,383,26.144482772360213,26.144482772360213,2.1933619607851496,0.22193211488250653,44,0.9166666666666666,0.009844283458638012,26.144482772360213,2.1933619607851496,6.936705313813395,1.960008491900883,1
BLOCK_00_TASK_003,BLOCK,477,27.393622349472302,27.393622349472302,1.5770159033402786,0.129979035639413,25,0.5208333333333334,0.0103734529043331,19.80448793837351,8.20961399483905,0.007050813981827012,0.004149371461530119,1
