env_steps,success,success_rate,collision,collision_rate,unsafe,unsafe_rate,mean_return,timeout,open_success,open_success_rate,block_success,block_success_rate,sbend_success,sbend_success_rate,obstacle_success,obstacle_success_rate
0,31,0.5740740740740741,12,0.2222222222222222,12,0.2222222222222222,13.354353314942598,11,15,0.8333333333333334,8,0.4444444444444444,8,0.4444444444444444,16,0.4444444444444444
50000,32,0.5925925925925926,12,0.2222222222222222,14,0.25925925925925924,13.014698487716952,8,16,0.8888888888888888,8,0.4444444444444444,8,0.4444444444444444,16,0.4444444444444444
100000,27,0.5,18,0.3333333333333333,19,0.35185185185185186,9.061999881176282,8,18,1.0,2,0.1111111111111111,7,0.3888888888888889,9,0.25
150000,28,0.5185185185185185,17,0.3148148148148148,17,0.3148148148148148,10.457639713803465,9,16,0.8888888888888888,3,0.16666666666666666,9,0.5,12,0.3333333333333333
200000,29,0.5370370370370371,20,0.37037037037037035,20,0.37037037037037035,9.426218198776846,5,18,1.0,3,0.16666666666666666,8,0.4444444444444444,11,0.3055555555555556
250000,21,0.3888888888888889,25,0.46296296296296297,25,0.46296296296296297,3.7698675631230203,8,17,0.9444444444444444,0,0.0,4,0.2222222222222222,4,0.1111111111111111
300000,15,0.2777777777777778,24,0.4444444444444444,24,0.4444444444444444,1.2923129135878197,15,14,0.7777777777777778,0,0.0,1,0.05555555555555555,1,0.027777777777777776
350000,13,0.24074074074074073,27,0.5,27,0.5,-0.8063859662132989,14,11,0.6111111111111112,0,0.0,2,0.1111111111111111,2,0.05555555555555555
400000,15,0.2777777777777778,26,0.48148148148148145,26,0.48148148148148145,0.43366617423459375,13,10,0.5555555555555556,0,0.0,5,0.2777777777777778,5,0.1388888888888889
450000,11,0.2037037037037037,30,0.5555555555555556,30,0.5555555555555556,-2.9872393217781563,13,11,0.6111111111111112,0,0.0,0,0.0,0,0.0
500000,16,0.2962962962962963,25,0.46296296296296297,25,0.46296296296296297,1.3370622935964545,13,12,0.6666666666666666,0,0.0,4,0.2222222222222222,4,0.1111111111111111
